fuente,titulo,url
Computrabajo,Promotor de Ventas de Colchones / Retail Pucallpa,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#3A1CF767CA68BCE561373E686DCF3405
Computrabajo,Promotor de Ventas de Colchones / Retail ICA,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#2F6C16FF2C3C763161373E686DCF3405
Computrabajo,Coordinador de Investigación y Desarrollo,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#2F00A4BA1E26576C61373E686DCF3405
Computrabajo,Coordinador de Centro de Distribución,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#898A79FF63FCCDCF61373E686DCF3405
Computrabajo,Analista de Compras y Servicios,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#7C6C2C1D2B97727761373E686DCF3405
Computrabajo,Editor audiovisual,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#67920A10F83594AF61373E686DCF3405
Computrabajo,Ejecutivo Corporativo / Sueldo base + Movilidad + Capacitaciones en Pucallpa,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#1998786C38E5FAA061373E686DCF3405
Computrabajo,Ejecutivo Comercial / Sueldo fijo + Movilidad S/. 2000 / Tarapoto,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#84347077563ABAC161373E686DCF3405
Computrabajo,Ejecutivo Call Center / Sueldo Fijo + Movilidad S/. 1500 / Iquitos,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#F602C340F1EC33BC61373E686DCF3405
Computrabajo,Ejecutivo Call Center / Sueldo Fijo + Movilidad S/. 1500 / Tacna,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#2711311EB756FF1A61373E686DCF3405
Computrabajo,Ejecutivo Call Center / Sueldo Fijo + Movilidad S/. 1500 / Tarapoto,https://pe.computrabajo.com/trabajo-de-marketing?pubdate=1#74162826445A5CD561373E686DCF3405
